sample	species	group	ROH	FROH	DP4	nRefHom	nNonRefHom	nHets	het	nTransitions	nTransversions	depth	nSingletons	nMissing	high_hom	high_het	high_total	moderate_hom	moderate_het	moderate_total	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_10_hom	cadd_10_het	cadd_25_hom	cadd_25_het
RK4	Rock	none	3473512	0.003158779	902638319	24847602	3468516	2698607	0.002989688	4399590	1767533	22.82523225	6232	349146	7.06E-05	4.65E-05	0.000187679	0.002956208	0.00141539	0.007327805	0.000337654	0.000683749	0.001359057	0.00789266	0.018368372	0.025898054	0.057055067	0.093538571	0.199519687
RK5	Rock	none	2205543	0.0020057	796278876	24362388	3443917	2687779	0.003375424	4373634	1758062	18.8707447	6028	869787	7.34E-05	4.76E-05	0.000194545	0.002882783	0.001463736	0.007229303	0.00031318	0.000770253	0.001396613	0.007964924	0.018181356	0.025909279	0.057650474	0.094030116	0.199182347
RK6	Rock	none	3453818	0.00314087	806230136	24620383	3447461	2705875	0.003356207	4388944	1764392	20.19759079	5653	590152	6.86E-05	4.69E-05	0.000184045	0.00287422	0.001425904	0.007174343	0.000262444	0.000778866	0.001303753	0.008059566	0.017998569	0.025998874	0.056984181	0.093226832	0.201734669
RK7	Rock	none	3477099	0.003162041	862358302	24857430	3475406	2694011	0.003124004	4400386	1769031	21.80338918	6532	337024	7.14E-05	4.81E-05	0.000191015	0.002956576	0.001380605	0.007293757	0.000388443	0.000802219	0.001579105	0.008199525	0.017927488	0.025966569	0.056957563	0.094121422	0.202615235
RK8	Rock	none	3453818	0.00314087	856177925	24665677	3454847	2694565	0.003147202	4386562	1762850	19.62813201	5960	548782	6.94E-05	5.16E-05	0.000190461	0.002928902	0.001416056	0.007273861	0.000304016	0.000785373	0.001393405	0.007938184	0.017877803	0.025739982	0.057416712	0.092935861	0.201190728
RK9	Rock	none	3602018	0.003275641	757720635	24458623	3440200	2671399	0.003525572	4360142	1751457	18.0518758	6322	793649	6.71E-05	5.05E-05	0.000184738	0.002866166	0.001456088	0.007188419	0.000323936	0.000792792	0.001440664	0.008141032	0.01813191	0.025616545	0.057345256	0.093003828	0.202306768
SK_D40625	Seychelles 	Seychelles 	26101656	0.0237366	944306362	27347833	3753754	65457	6.93175E-05	2709740	1109471	26.91768654	67	196827	9.87E-05	8.53E-06	0.000205974	0.003847393	0.000161819	0.007856604	0.001044732	0.000109151	0.002198616	0.020645161	0.001348796	0.062411071	0.003025046	0.197275119	0.007235162
SK_D40627	Seychelles 	Seychelles 	29339046	0.026680652	906642235	27334663	3744783	69238	7.63675E-05	2705752	1108269	25.12265236	134	215187	9.55291E-05	8.94E-06	0.000199994	0.003820913	0.000163494	0.00780532	0.00105576	0.000140768	0.002252287	0.020552123	0.001579729	0.062438414	0.002917025	0.19752874	0.006991476
SK_D40628	Seychelles 	Seychelles 	24055486	0.021875832	866523925	27157243	3730228	70368	8.12072E-05	2697020	1103576	27.01045282	103	406032	1.00E-04	9.13E-06	0.000210067	0.003896463	0.000171475	0.007964402	0.001062687	0.000125948	0.002251321	0.02060825	0.001353942	0.062344287	0.002959779	0.197195294	0.007470294
SK_SeyK_5965	Seychelles 	Seychelles 	27811471	0.02529149	940909731	27344900	3750747	65020	6.91033E-05	2707075	1108692	25.47583139	154	203204	9.89E-05	7.55E-06	0.000205317	0.003842652	0.000154114	0.007839417	0.001068947	0.000124841	0.002262735	0.020629899	0.001295221	0.062459281	0.002941555	0.197271454	0.007045688
SK_SeyK_5966	Seychelles 	Seychelles 	26233829	0.023856797	948160786	27464843	3758637	67799	7.15058E-05	2715500	1110936	33.20380354	68	72592	9.82E-05	9.06E-06	0.000205474	0.003830753	0.000155068	0.007816574	0.001081367	0.000108915	0.002271649	0.020600431	0.001182502	0.062400324	0.002598393	0.197501186	0.006690472
SK_SeyK_5967	Seychelles 	Seychelles 	23948484	0.021778526	923332151	27381293	3752365	69410	7.51734E-05	2711700	1110075	27.40699729	90	160803	9.90E-05	8.50E-06	0.000206576	0.003846164	0.000155557	0.007847886	0.00105971	0.00011688	0.0022363	0.020703305	0.00129347	0.062460553	0.002844075	0.197261896	0.007230962
SK_SeyK_5968	Seychelles 	Seychelles 	18547240	0.016866685	921672939	27389461	3753424	69875	7.58132E-05	2712694	1110605	27.39362052	256	151111	9.93005E-05	7.994E-06	0.000206595	0.003837746	0.000157882	0.007833374	0.001066737	0.00010901	0.002242484	0.020618396	0.00127697	0.062369091	0.002779746	0.197081656	0.007389297
